project_id,pic,partner_role,pillar_abbr,pillar_descr,thematic_priority_abbr,signature_date,call_deadline_date,eu_contribution,legal_name,legal_short_name,legal_entity_type,country_code,legal_url,ec_contribution,net_ec_contribution,project_acronym,thematic_priority,topic_code,topic_description,participations,framework_programme,start_date,end_date,legal_basis,funding_scheme,pillar,re_contribution,signature_year,call_year,start_year,country
639304,999886574,Coordinator,EU.1.,Excellent Science,ERC,2014-10-29,2014-04-01,149775,BAR ILAN UNIVERSITY,BIU,HES,IL,http://www.biu.ac.il,149775,NA,Watecco,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-11-01,2016-04-30,NA,ERC-POC,1,149775,2014,2014,2014,Israel
639859,999985223,Coordinator,EU.1.,Excellent Science,ERC,2014-10-29,2014-04-01,149967,UNIVERSITY OF SURREY,SURREY,HES,UK,http://www.surrey.ac.uk,149967,NA,SMIRP,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-11-01,2016-04-30,NA,ERC-POC,1,149967,2014,2014,2014,United Kingdom
640120,999991722,Coordinator,EU.1.,Excellent Science,ERC,2014-11-07,2014-04-01,149999,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,CSIC,REC,ES,http://www.csic.es,149999,NA,LAB-TECH,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-12-01,2016-05-31,NA,ERC-POC,1,149999,2014,2014,2014,Spain
640567,999882209,Coordinator,EU.1.,Excellent Science,ERC,2014-11-28,2014-04-01,147500,UNIVERSITAET ULM,UULM,HES,DE,www.uni-ulm.de,147500,NA,NDI,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-12-01,2016-05-31,NA,ERC-POC,1,147500,2014,2014,2014,Germany
640652,999886574,Coordinator,EU.1.,Excellent Science,ERC,2014-10-28,2014-04-01,149776,BAR ILAN UNIVERSITY,BIU,HES,IL,http://www.biu.ac.il,149776,NA,DCM,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-11-01,2016-04-30,NA,ERC-POC,1,149776,2014,2014,2014,Israel
640749,999852721,Coordinator,EU.1.,Excellent Science,ERC,2014-11-14,2014-04-01,83797.5,THE UNIVERSITY OF SUSSEX,UOS,HES,UK,http://www.sussex.ac.uk,83797.5,NA,DHaptics,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,2,H2020,2014-12-01,2016-05-31,NA,ERC-POC,1,83797.5,2014,2014,2014,United Kingdom
640749,999974262,Participant,EU.1.,Excellent Science,ERC,2014-11-14,2014-04-01,65372.5,UNIVERSITY OF BRISTOL,UNIVBRIS,HES,UK,http://www.bristol.ac.uk,65372.5,NA,DHaptics,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,2,H2020,2014-12-01,2016-05-31,NA,ERC-POC,1,65372.5,2014,2014,2014,United Kingdom
640942,999997930,Coordinator,EU.1.,Excellent Science,ERC,2014-10-23,2014-04-01,148500,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,CNRS,OTH,FR,http://www.cnrs.fr,148500,NA,SIMDEQ,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-11-01,2016-04-30,NA,ERC-POC,1,148500,2014,2014,2014,France
640982,954530344,Coordinator,EU.1.,Excellent Science,ERC,2014-11-25,2014-04-01,62500,STICHTING VU,VU-VUmc,HES,NL,http://www.vu.nl,62500,NA,SUPER-RESOL,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,2,H2020,2014-12-01,2016-05-31,NA,ERC-POC,1,62500,2014,2014,2014,Netherlands
640982,999992401,Participant,EU.1.,Excellent Science,ERC,2014-11-25,2014-04-01,87500,COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,CEA,REC,FR,http://www.cea.fr,87500,NA,SUPER-RESOL,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,2,H2020,2014-12-01,2016-05-31,NA,ERC-POC,1,87500,2014,2014,2014,France
640988,999985611,Coordinator,EU.1.,Excellent Science,ERC,2014-11-05,2014-04-01,149533.75,UNIVERSITY OF EAST ANGLIA,UEA,HES,UK,http://www.uea.ac.uk,149533.75,NA,FLPower,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-12-01,2015-11-30,NA,ERC-POC,1,149533.75,2014,2014,2014,United Kingdom
641222,999984350,Coordinator,EU.1.,Excellent Science,ERC,2014-10-30,2014-04-01,148377,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",UOXF,HES,UK,http://www.ox.ac.uk,148377,NA,ExtraLytics,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-11-01,2016-04-30,NA,ERC-POC,1,148377,2014,2014,2014,United Kingdom
641252,999984350,Coordinator,EU.1.,Excellent Science,ERC,2014-11-13,2014-04-01,150000,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",UOXF,HES,UK,http://www.ox.ac.uk,150000,NA,"NANOIMAGER",European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-12-01,2016-05-31,NA,ERC-POC,1,150000,2014,2014,2014,United Kingdom
641382,999977172,Coordinator,EU.1.,Excellent Science,ERC,2014-11-11,2014-04-01,149995,THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,UCAM,HES,UK,http://www.cam.ac.uk,149995,NA,Carbon Heaters,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-12-01,2016-02-29,NA,ERC-POC,1,149995,2014,2014,2014,United Kingdom
641416,999990946,Coordinator,EU.1.,Excellent Science,ERC,2014-11-17,2014-04-01,150000,KUNGLIGA TEKNISKA HOEGSKOLAN,KTH,HES,SE,http://www.kth.se,150000,NA,iPUBLIC,European Research Council,ERC-PoC-2014,ERC Proof of Concept Grant,1,H2020,2014-12-01,2016-05-31,NA,ERC-POC,1,150000,2014,2014,2014,Sweden
633053,999990267,Coordinator,Euratom,Euratom Research and Training Programme,EURATOM,2014-09-30,2016-06-29,157254892.46,MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,MPG,REC,DE,http://www.mpg.de,158286142.46,157254892.46,EUROfusion,Euratom,EURATOM,EURATOM,207,H2020,2014-01-01,2022-12-31,H2020-Euratom,COFUND-EJP,Euratom,157254892.46,2014,2016,2014,Germany
633053,932760440,Participant,Euratom,Euratom Research and Training Programme,EURATOM,2014-09-30,2016-06-29,4713341.26,TEKNOLOGIAN TUTKIMUSKESKUS VTT OY,VTT,REC,FI,http://www.vtt.fi,12738980.77,4713341.26,EUROfusion,Euratom,EURATOM,EURATOM,207,H2020,2014-01-01,2022-12-31,H2020-Euratom,COFUND-EJP,Euratom,4713341.26,2014,2016,2014,Finland
